label,qid,track,start,end,score,desc
Archilochus,Q201323,0,-680,-645,51,Ancient Greek lyric poet
Ashurbanipal,Q171191,1,-685,-631,73,Assyrian ruler
Draco (legislator),Q28626,2,-650,-600,54,first legislator of Athens in Ancient Greece
Necho II,Q125102,3,-700,-595,44,2nd Egyptian pharaoh of the 26th dynasty
Psamtik II,Q373521,4,-700,-589,40,3rd Egyptian pharaoh of the 26th dynasty
Apries,Q349291,5,-650,-567,39,4th Egyptian pharaoh of the 26th dynasty
Aesop,Q43423,6,-620,-564,105,ancient Greek storyteller (619 BC–563 BC)
Nebuchadnezzar II,Q12591,7,-642,-561,89,King of Babylon
Alcaeus,Q212872,8,-630,-560,48,Greek lyric poet
Solon,Q133337,9,-638,-558,79,Athenian legislator
Stesichorus,Q332797,10,-630,-555,35,6th-century BCE Greek lyric poet
Zoroaster,Q35811,11,-628,-551,123,founder of Zoroastrianism
Sappho,Q17892,12,-650,-550,112,ancient Greek poet from Lesbos (c. 630-c. 570 BC)
Thales of Miletus,Q36303,13,-650,-548,117,ancient Greek philosopher and mathematician
Anaximander,Q42458,14,-620,-547,87,pre-Socratic Greek philosopher
Nabonidus,Q239414,15,-615,-538,48,king of Babylon
Cyrus the Great,Q8423,16,-600,-530,135,founder of the Achaemenid Empire (559–529 BC)
Mahavira,Q9422,17,-599,-527,81,"24th Tirthankara of Jainism, promoter of non-violence, truth, and celibacy"
Amasis II,Q312045,18,-610,-526,46,Egyptian pharaoh from 570 to 526 BC
Anaximenes of Miletus,Q80612,19,-585,-525,78,Greek Ionian Pre-Socratic philosopher (c.586–c.526 BC)
Cambyses II,Q182483,20,-559,-522,69,The second Achaemenid emperor (530–522 BC)
Lucius Junius Brutus,Q223440,21,-540,-509,39,Semi-legendary 6th-century BC founder of Roman Republic
Laozi,Q9333,22,-604,-500,153,"6th-century BC semi-legendary Chinese philosopher, founder of Taoism"
Ānanda,Q28988,23,-600,-500,52,Attendant of the Buddha and main figure in First Buddhist Council
Sushruta,Q383027,24,-600,-500,47,"ancient Indian physician, father of surgery"
Himilco,Q458365,25,-550,-500,31,Carthaginian explorer
