Q171885	South Korean girl group
Q6060	American rapper (born 1975)
Q11617	American R&B singer (1979–2001)
Q4661683	Indian actress
Q215777	American baseball player (1934–2021)
Q207942	Nigerian military ruler (1943-1998)
Q466654	painter (1946-2004)
Q116774	American security consultant, former confidence trickster, check forger, impostor, and escape artist
Q4989	Emperor of the Khitans and founder of the Liao dynasty (872-926)
Q151608	Italian conductor (1933–2014)
Q293599	Paternal uncle of Muhammad (c.565–c.653)
Q305975	9th century astronomer and physician
Q193043	Algerian politician (1899-1985), President of Provisional Government of Algeria, president of the National Constitutional Assembly of Algeria
Q559774	film director, screenwriter, novelist, and journalist (1914–1987)
Q127998	president of the Palestinian Authority since 2005
Q380726	Persian painter (1565-1635)
Q23679	American comedy duo
Q23888	American actor, producer and comedian (1897–1974)
Q307665	historical Arab ruler (624-692)
Q2046261	Companion of Muhammad and authority in hadith and law (c.610-693)
Q1060637	8th-century Persian author and translator
Q552693	Theologian, founder of Almoravid movement
Q401076	President of the Comoros from 1978 to 1989
Q467895	Egyptian singer, actor and composer (1896-1991)
Q313797	Sahrawi politician
Q202650	war leader and president of the Rif Republic from 1921 to 1926
Q311826	Egyptian Islamic jurist, religious scholar and liberal reformer (1849-1905)
Q308535	Quran reciter (1927–1988)
Q57550	5th Yang di-Pertuan Agong and Sultan of Kedah
Q216954	son of Bahá'u'lláh and leader of the Bahá'í Faith
Q6932972	Tanzanian writer
Q192780	Ruler of Transjordan and Jordan from 1921 to 1951
Q57464	King of the Hashemite Kingdom of Jordan
Q423557	companion of the Islamic prophet Muhammad (c.594-c.653)
Q57298	King of Saudi Arabia from 2005 to 2015
Q174772	31th Sultan of the Ottoman Empire (1839–1861)
Q253686	Japanese composer and marimba player
Q186273	Japanese writer, playwright, photographer and inventor
Q264924	20th-century Japanese murderer
Q52596	Ethiopian double Olympic marathon champion
Q2443222	Bengali painter (1914–1976)
Q545488	American civil rights activist and minister (1926–1990)
Q320619	Indian philosopher and writer (c.950–1016)
Q50365049	Prime Minister of Ethiopia since 2018
Q313461	Armenian writer, activist, academic (1809-1848)
Q319902	Portuguese-Spanish Jewish businessman, exegete and philosopher (1437-1508)
Q181936	American actor (born 1939)
Q380887	British sprinter (1899–1978)
Q47496	Serbian performance artist (born 1946)
Q171428	Russian-Israeli oligarch and politician
Q331166	Pakistani musician
Q467062	Portuguese Jewish philosopher, physician and poet
Q188128	Soviet, Russian and American theoretical physicist
Q334772	10th-century Iraqi Isma'ili missionary
Q12219365	Palestinian-American journalist (1971–2022)
Q1112739	Companion (Sahabi) of Muhammad (died 652 CE)
Q1029610	Companion of Muhammad (died 652)
Q69326	companion of Muhammad
Q335103	Islamic Mathematician
Q12827721	Persian Muslim theologian (853–944)
Q335170	Companion (Sahabi) of Muhammad
Q335430	Quraysh tribal leader and merchant (c. 560 – 653)
Q1750054	Muslim Arab poet of Abbasid era (died 850)
Q747731	companion of Muhammad and military leader (583–639)
Q156133	American political activist, journalist, and convicted murderer of a police officer
Q6547452	Palestinian-American anthropologist
Q262346	Nigerian general and brief head of state
Q334752	Grand vizier of Mughal emperor Akbar from 1579 to 1602
Q4952054	Filipino journalist
Q464724	American politician (1920-1998)
Q27593	Australian-British hard rock band
Q311287	Roman poet and literary scholar (170–c.86 BC)
Q433471	American designer, landscape architect, performance and installation artist (1940-2017)
Q365923	Swedish botanist (1757–1819)
Q1994479	Indian Hindu saint
Q18227	American collector of science fiction books and movie memorabilia (1916-2008)
Q6204798	American journalist, dance critic and writer
Q311778	British politician and historian (1834–1902)
Q455773	American country music singer and fiddler (1903-1992)
Q351742	Japanese manga artist
Q311573	Assyrian king
Q589905	firefighter (1915–2004)
Q312635	British neoclassical architect (1728–1792)
Q959476	Fulani scholar
Q1528102	Italian opera librettist (1878-1946)
Q312610	Belgian recording artist of Italian birth; musician, songwriter, singer
Q206191	First Lady of the United States from 1797 to 1801
Q481832	American actress
Q929695	American political writer (1848–1927)
Q482907	Canadian musician, singer, songwriter, record producer, and photographer
Q42	British science fiction writer and humorist (1952–2001)
Q76139	Irish republican politician (born 1948)
Q458390	American journalist, historian, academic, novelist (1838-1918)
Q11806	Founding Father, U.S. president from 1797 to 1801
Q84114	American composer (born 1947)
Q11816	President of the United States from 1825 to 1829
Q437509	American actress (1872–1953)
Q212963	American statesman, political philosopher, governor of Massachusetts and Founding Father of the United States (1722-1803)
Q313866	English navigator who travelled to Japan
Q361106	American cartoonist (1912–1988)
Q312577	Prime Minister of the United Kingdom, 1801 to 1804
Q206384	English essayist, poet, playwright and politician (1672–1719)
Q982678	Nigerian musician
Q23215	English singer-songwriter (born 1988)
Q319137	American businessman (1933–2021)
Q7961665	television producer
Q313078	French inventor and engineer
Q18216886	Nigerian music video director
Q29418661	Nigerian-American author
Q12224537	Arab poet (550-600)
Q230141	Nigerian writer (born 1977)
Q595257	British journalist (born 1945)
Q296299	Indian journalist and author
Q106383	French actress
Q1173530	architect (born 1966)
Q152393	Austrian psychotherapist (1870–1937)
Q1386165	German-American professor of political and social ethics, rationalist, and lecturer (1851-1933)
Q78716	Austrian musicologist, writer (1855–1941)
Q542337	American madam and author (1900–1962)
Q32788	American actress and acting teacher (1901–1992)
Q57302	Duke of Nassau (1839–1866), later Grand Duke of Luxembourg (1890–1905)
Q170317	Spanish chef (born 1962)
Q132845	Pope from 1154 to 1159
Q380787	Syrian poet, writer and translator (born 1930)
Q211392	Hungarian poet (1877–1919)
Q2307	Roman politician and general (185–129 BC)
Q126826	American hard rock band
Q43423	ancient Greek storyteller (619 BC–563 BC)
Q183499	King of England
Q483118	American film actor, director and screenwriter (born 1972)
Q355416	Syrian philosopher, sociologist and Arab nationalist (1910–1989)
Q15981681	Nigerian actor, director and producer
Q383455	Ruler of the Kingdom of Kongo from 1509 to 1542/43
Q295850	King of Portugal
Q559269	Portuguese singer, composer and politician (1929-1987)
Q57348	president of Eritrea since 1993
Q366213	48th Imam of the Nizari Ismaili community (1877-1957)
Q311687	Italian philosopher (b. 1942)
Q7407	American tennis player (born 1970)
Q390857	Vedic sage, father of Tamil language
Q19666011	alchemist
Q352963	American author, journalist, poet, screenwriter and film critic (1909-1955)
Q237867	ancient Greek astronomer, daughter of Hegetor
Q356351	Italian businessman; grandson of FIAT's founder (1921-2003)
Q315610	Italian entrepreneur (1866–1945)
Q200392	Italian mathematician and philanthropist (1718–1799)
Q133042	Ukrainian-born Israeli Hebrew writer, Nobel laureate in Literature (1888–1970)
Q253450	Italian motorcycle racer
Q76579	German mineralogist (1494-1555)
Q215346	Finnish clergyman and de facto founder of literary Finnish
Q6774873	American journalist, television host (1915-1999)
Q14789082	Taíno tribal leader and military chief
Q1958523	Mexican singer and actor (1919–2007)
Q5110740	Thai singer (born 1966)
Q983329	Filipino musician
Q41594	American singer, songwriter and actress
Q529197	Basque Spanish conquistador
Q379888	Nigerian military leader (1924-1966)
Q156305	Norwegian pop band
Q154550	11th Taoiseach of Ireland from 1997 to 2008
Q298718	President of Cameroon (1924-1989)
Q385139	family of Muhammad
Q400907	Ruler of the Sheikhdom of Kuwait from 1921 to 1950.
Q400961	Imam (1891-1962)
Q2827460	Emir of Qatar
Q374374	Emir of Egypt and Syria from 868 to 884
Q312952	Indian religious leader (1835–1908)
Q34448	6th President of the Islamic Republic of Iran from 2005 to 2013
Q199482	23th Sultan of Ottoman Empire (1703–1730)
Q48724407	Garxajis tribal chief, ally of Sultan Diiriye Guure
Q165672	former president of Bangladesh (1931-2012)
Q2975772	Bangladeshi politician and first Prime Minister of Bangladesh (1925-1975)
Q7222	Pharaoh of Ancient Egypt
Q488735	Korean independence activist (1878–1938)
Q626456	South Korean religious leader (1918–1985)
Q29230	President of Finland from 1994 to 2000
Q351758	8th tlatoani of Tenochtitlan and ruler of the Aztec Triple Alliance
Q160115	Chinese Conceptual artist (born 1957)
Q93514	Austrian writer (1921–2016)
Q319160	Somali warlord (1934-1996)
Q298224	Ghanaian author and poet
Q299723	pioneer in computing, original conceptual designer behind IBM's Harvard Mark I computer (1900-1973)
Q983981	American TV executive and consultant (1940–2017)
Q449037	African-American dancer, choreographer and activist (1931-1989)
Q449073	British competitive sailor
Q242625	American-Canadian psychologist & scholar
Q518359	English novelist (1805-1882)
Q536566	Cuban singer (1927–2005)
Q181568	Russian marine painter (1817–1900)
Q774155	Lebanese singer and actress
Q239638	nigerian long jumper and olympic gold medallist
Q1673706	Japanese engineer (1929-2021)
Q171418	Imperial Japanese Army general (1864–1919)
Q489893	1st and former President of Kyrgyzstan
Q51118	Japanese female idol group
Q3056176	Egyptian belly dancer, film actress, acrobat, and performer
Q1037711	American taxidermist, sculptor, biologist, conservationist, inventor, nature photographer (1864–1926)
Q222541	American economist and Koshland Professor of Economics
Q455370	Swedish director
Q239823	Belgian film director, screenwriter, and educator (1950–2015)
Q232508	American soccer player
Q25951	Soviet Tatar linguist (1927-1986)
Q2385789	Iraqi poet (640-708)
Q2319562	Indian writer, poet and lyricist
Q3070885	Indian film director
Q315158	Iranian Azerbaijani playwright and literary critic
Q24237654	Supreme Leader of Afghanistan since 2021
Q37979	Emperor of Japan from 1989 to 2019
Q457860	Japanese producer and lyricist (born 1958)
Q437117	Japanese American jazz pianist, composer, arranger, band master
Q298139	Turkish singer-songwriter and record producer (born 1954)
Q315185	Soviet-American writer (1932-2009)
Q125663	Russian writer, translation, and historian
Q309650	Emir of Bahrain (1961-1999)
Q298434	Political activist and Islamic ideologist (1838–1897)
Q334813	Companion and the standard-bearer of Muhammad
Q316349	Muslim theologian (874–936)
Q315920	eleventh of the Twelve Shia Imams
Q2821724	Leader of the Islamic State (1971-2019)
Q230291	Egyptian Islamist leader and politician (1906—1949)
Q311153	Fifth of the Twelve Shia Imams
Q63111184	President of the Sovereignty Council of Sudan
Q293554	Syrian Islamic historian and Hadith scholar (1274–1348)
Q1399341	writer, thinker, and social and political critic (1923-1969)
Q591558	Arab poet (c. 641-728/30)
Q3595661	Palestinian-American Muslim philosopher and scholar (1921–1986)
Q286097	Arab poet and scholar (1054–1122)
Q7934206	President of Syria since 2025
Q2584074	Muslim scholar and theologian (1028–1085)
Q532033	poet (1917-1987)
Q8917042	twelfth and last Imam in Shia Twelver of Islam
